year,region_name,type_name,region_rolled_up,type_rolled_up,transaction_count,nominal_median_price,nominal_mean_price,real_median_price,cpih_index
1995,East Midlands,Detached,0,0,22405,70000,79970,145045,66.6
1995,East Midlands,Flat / Maisonette,0,0,1868,31000,34210,64234,66.6
1995,East Midlands,Semi-detached,0,0,23629,43000,45198,89099,66.6
1995,East Midlands,Terraced,0,0,16523,33500,35171,69414,66.6
1995,East of England,Detached,0,0,28225,87000,103977,180270,66.6
1995,East of England,Flat / Maisonette,0,0,11309,39000,42422,80811,66.6
1995,East of England,Semi-detached,0,0,27529,56000,61907,116036,66.6
1995,East of England,Terraced,0,0,25873,47400,51490,98216,66.6
1995,London,Detached,0,0,5574,156000,202794,323243,66.6
1995,London,Flat / Maisonette,0,0,46418,59995,80203,124314,66.6
1995,London,Semi-detached,0,0,20163,88000,108906,182342,66.6
1995,London,Terraced,0,0,36194,72000,98820,149189,66.6
1995,North East,Detached,0,0,5958,76950,86518,159446,66.6
1995,North East,Flat / Maisonette,0,0,3385,30000,33754,62162,66.6
1995,North East,Semi-detached,0,0,10998,47000,48689,97387,66.6
1995,North East,Terraced,0,0,12123,33000,36358,68378,66.6
1995,North West,Detached,0,0,18461,82500,94431,170946,66.6
1995,North West,Flat / Maisonette,0,0,5359,38950,43567,80707,66.6
1995,North West,Semi-detached,0,0,34463,49000,51488,101532,66.6
1995,North West,Terraced,0,0,34977,32950,34494,68275,66.6
1995,South East,Detached,0,0,41115,115000,134667,238288,66.6
1995,South East,Flat / Maisonette,0,0,22563,43000,47671,89099,66.6
1995,South East,Semi-detached,0,0,40576,66950,72182,138725,66.6
1995,South East,Terraced,0,0,38071,54000,57774,111892,66.6
1995,South West,Detached,0,0,26014,84995,97245,176116,66.6
1995,South West,Flat / Maisonette,0,0,9891,38999,46407,80809,66.6
1995,South West,Semi-detached,0,0,21872,54500,58138,112928,66.6
1995,South West,Terraced,0,0,25284,45000,48288,93243,66.6
1995,Wales,Detached,0,0,9253,69000,75057,142973,66.6
1995,Wales,Flat / Maisonette,0,0,1427,36500,39993,75631,66.6
1995,Wales,Semi-detached,0,0,10934,45000,47409,93243,66.6
1995,Wales,Terraced,0,0,11891,35000,36336,72523,66.6
1995,West Midlands,Detached,0,0,18679,84500,96947,175090,66.6
1995,West Midlands,Flat / Maisonette,0,0,4894,36972,39763,76610,66.6
1995,West Midlands,Semi-detached,0,0,26428,49000,51563,101532,66.6
1995,West Midlands,Terraced,0,0,21473,38950,40653,80707,66.6
1995,Yorkshire and The Humber,Detached,0,0,16085,78500,87941,162658,66.6
1995,Yorkshire and The Humber,Flat / Maisonette,0,0,3066,38500,42570,79775,66.6
1995,Yorkshire and The Humber,Semi-detached,0,0,25620,47950,49708,99356,66.6
1995,Yorkshire and The Humber,Terraced,0,0,26189,34500,36622,71486,66.6
1995,East Midlands,All types,0,1,64425,46000,54400,95315,66.6
1995,East of England,All types,0,1,92936,57500,69413,119144,66.6
1995,London,All types,0,1,108349,73000,98070,151261,66.6
1995,North East,All types,0,1,32464,42950,49469,88995,66.6
1995,North West,All types,0,1,93260,45200,53160,93658,66.6
1995,South East,All types,0,1,142325,65000,82493,134685,66.6
1995,South West,All types,0,1,83061,55000,65991,113964,66.6
1995,Wales,All types,0,1,33505,44500,50799,92207,66.6
1995,West Midlands,All types,0,1,71474,49500,59338,102568,66.6
1995,Yorkshire and The Humber,All types,0,1,70960,45600,53236,94486,66.6
1995,All regions,Detached,1,0,191959,86500,104837,179234,66.6
1995,All regions,Flat / Maisonette,1,0,110346,46000,59307,95315,66.6
1995,All regions,Semi-detached,1,0,242284,53000,60419,109820,66.6
1995,All regions,Terraced,1,0,248697,43000,51576,89099,66.6
1995,All regions,All types,1,1,793286,55000,68240,113964,66.6
1996,East Midlands,Detached,0,0,28315,72500,82240,146058,68.5
1996,East Midlands,Flat / Maisonette,0,0,2128,31500,35368,63460,68.5
1996,East Midlands,Semi-detached,0,0,27200,43950,45759,88542,68.5
1996,East Midlands,Terraced,0,0,18893,33750,35545,67993,68.5
1996,East of England,Detached,0,0,36005,89000,106715,179299,68.5
1996,East of England,Flat / Maisonette,0,0,13169,38000,42360,76555,68.5
1996,East of England,Semi-detached,0,0,32912,57000,63613,114832,68.5
1996,East of England,Terraced,0,0,32431,48000,52595,96701,68.5
1996,London,Detached,0,0,7376,165000,217827,332409,68.5
1996,London,Flat / Maisonette,0,0,57841,64500,88802,129942,68.5
1996,London,Semi-detached,0,0,25013,92000,113836,185343,68.5
1996,London,Terraced,0,0,44733,75000,104592,151095,68.5
1996,North East,Detached,0,0,7439,78500,87999,158146,68.5
1996,North East,Flat / Maisonette,0,0,3738,31000,35372,62453,68.5
1996,North East,Semi-detached,0,0,12967,48000,49602,96701,68.5
1996,North East,Terraced,0,0,13302,33000,37365,66482,68.5
1996,North West,Detached,0,0,21915,84500,97170,170234,68.5
1996,North West,Flat / Maisonette,0,0,6372,39500,45958,79577,68.5
1996,North West,Semi-detached,0,0,40228,49950,52346,100629,68.5
1996,North West,Terraced,0,0,37873,32995,34865,66472,68.5
1996,South East,Detached,0,0,53293,118700,139706,239133,68.5
1996,South East,Flat / Maisonette,0,0,26847,43500,48840,87635,68.5
1996,South East,Semi-detached,0,0,49631,69000,74709,139007,68.5
1996,South East,Terraced,0,0,47595,55500,59909,111810,68.5
1996,South West,Detached,0,0,35330,87000,99941,175270,68.5
1996,South West,Flat / Maisonette,0,0,12231,40000,48059,80584,68.5
1996,South West,Semi-detached,0,0,27048,55500,59672,111810,68.5
1996,South West,Terraced,0,0,32141,45000,48970,90657,68.5
1996,Wales,Detached,0,0,11990,70500,76813,142029,68.5
1996,Wales,Flat / Maisonette,0,0,1603,38950,41272,78469,68.5
1996,Wales,Semi-detached,0,0,13332,45500,47582,91664,68.5
1996,Wales,Terraced,0,0,14117,35950,37221,72425,68.5
1996,West Midlands,Detached,0,0,23513,86000,98457,173255,68.5
1996,West Midlands,Flat / Maisonette,0,0,5681,37000,41283,74540,68.5
1996,West Midlands,Semi-detached,0,0,31098,50000,52937,100730,68.5
1996,West Midlands,Terraced,0,0,24523,39000,41198,78569,68.5
1996,Yorkshire and The Humber,Detached,0,0,19260,80000,90867,161168,68.5
1996,Yorkshire and The Humber,Flat / Maisonette,0,0,3425,39000,43653,78569,68.5
1996,Yorkshire and The Humber,Semi-detached,0,0,29488,48000,50221,96701,68.5
1996,Yorkshire and The Humber,Terraced,0,0,28241,34500,36822,69504,68.5
1996,East Midlands,All types,0,1,76536,47500,56445,95693,68.5
1996,East of England,All types,0,1,114517,58995,71600,118851,68.5
1996,London,All types,0,1,134963,77000,105727,155124,68.5
1996,North East,All types,0,1,37446,45000,51463,90657,68.5
1996,North West,All types,0,1,106388,46950,54974,94585,68.5
1996,South East,All types,0,1,177366,68500,86351,138000,68.5
1996,South West,All types,0,1,106750,57500,68447,115839,68.5
1996,Wales,All types,0,1,41042,45500,52312,91664,68.5
1996,West Midlands,All types,0,1,84815,51000,61382,102745,68.5
1996,Yorkshire and The Humber,All types,0,1,80414,47000,54971,94686,68.5
1996,All regions,Detached,1,0,244629,89500,108515,180307,68.5
1996,All regions,Flat / Maisonette,1,0,133233,48000,64263,96701,68.5
1996,All regions,Semi-detached,1,0,289016,54500,62391,109796,68.5
1996,All regions,Terraced,1,0,293945,44500,54024,89650,68.5
1996,All regions,All types,1,1,960823,57000,71834,114832,68.5
